"","Brain_Young_rep1","Brain_Young_rep2","Brain_Young_rep3","Brain_LTDR_rep1","Brain_LTDR_rep3","Brain_LTAL_rep1","Brain_LTAL_rep2","Brain_STDR_rep2","Brain_STDR_rep3"
"Mst1",5.01852974829397,61.8602785283163,7.22537928671439,9.6567602119196,8.61172775545439,12.4283077529453,5.74119119124626,5.25118291019103,1.75701330656194
"Mst1r",5.01852974829397,16.6924561108155,12.6444137517502,10.4614902295796,8.61172775545439,8.28553850196352,6.69805638978731,13.6530755664967,1.75701330656194
"Mstn",5.01852974829397,0.981909182989148,5.41903446503579,7.2425701589397,6.45879581659079,10.3569231274544,18.1804387722798,7.35165607426744,5.27103991968582
"Msto1",210.778249428347,253.3325692112,203.213792438842,296.945376516528,272.345890266245,266.172924375578,202.855422090701,260.458672345475,395.327993976436
"Msx1",83.1642072574429,65.7879152602729,53.2871722395186,170.602763743913,149.62876975102,117.033231340235,225.820186855686,78.7677436528654,79.0655987952872
"Msx2",7.88626103303337,8.83718264690233,9.93489651923228,18.5087904061792,23.6822513274996,42.463384822563,69.8511594934962,25.2056779689169,29.869226211553
"Msx3",0.716932821184852,0,0,0,2.1529319388636,0,0,0,0
"Mt1",1846.10201455099,1578.90996624655,1287.020685446,2955.77335486506,3072.23387675835,2359.30708843411,2842.84650486544,6195.34559744337,8723.57106708003
"Mt2",489.665116869254,509.610865971368,334.17379201054,861.061118896165,975.27816830521,576.88061819921,798.025575583231,2245.40581239768,2711.07153202507
"Mt3",1655.39788411582,1027.07700540665,1019.68165183757,1183.75785597781,1347.73539372861,1019.12123574151,940.598490165846,1967.09311815756,2681.20230581352
"Mt4",0,0,0,0,0,1.03569231274544,0,0,0
"Mta1",394.313051651669,297.518482445712,309.788136917879,164.164923602633,229.287251488973,198.852924047124,206.682882884865,205.846370079488,195.028477028375
"Mta2",696.141769370491,650.023879138816,642.155584106741,568.944122485597,670.638298956011,625.558156898245,696.59786453788,558.725861644325,578.057377858878
"Mta3",1402.32059823757,1338.34221641421,1271.66675446173,1290.78694832659,1362.80591730066,1029.47815886897,896.582691032958,1429.371988154,1500.4893638039
"Mtap",182.817869402137,223.875293721526,191.472551097931,354.885937788045,291.722277716018,266.172924375578,271.749716385656,371.783750041525,423.440206881427
"Mtap1a",14070.5235485739,10996.4009402955,11616.6035482151,7569.29054610965,6911.98798972158,4665.7938689182,5704.8303137017,10678.8055661645,10336.5092825039
"Mtap1b",25286.2206031897,21403.6563707974,22704.8512360891,18191.7267792212,16599.1052486383,9056.09358264612,10489.1563064069,19645.7255036067,19488.791596385
"Mtap1s",505.437638935321,348.577759961147,403.718067645166,291.312266392908,257.2753666942,240.280616556942,223.906456458604,325.573340431844,349.645648005826
"Mtap2",27505.844617578,23234.9169970722,27473.6015653206,17281.5771292478,19228.9116119602,15733.201922916,11521.6138556327,17398.2192180449,18021.6854854058
"Mtap4",6443.07526398827,6187.00976201462,5793.8510155341,6943.2105923702,6967.96422013203,7188.74034276609,7886.48296637528,7640.47113432794,7433.92330006356
"Mtap6",1360.73849460885,1261.75330014105,1306.89047848447,1061.4388932935,1037.71319453225,970.443697042477,714.77830331016,1167.86307922648,1275.59166056397
"Mtap7",935.597331646232,885.682083056211,911.300962536852,1260.20720765551,1117.37167627021,750.876926740444,836.300183524872,1053.38729178432,1250.9934742721
"Mtap7d1",1467.56148496539,1168.47192775709,1249.99061660159,908.540189938103,959.131178763733,831.660927134588,857.351217892775,1252.93224237158,1458.32104444641
"Mtap7d2",2618.23866296708,2674.72061446244,2674.29350849516,3664.74050042349,3444.69110218176,2581.98093567438,2204.61741743857,3497.28781818722,4338.06585390143
"Mtap7d3",1.4338656423697,0.981909182989148,2.7095172325179,0.804730017659967,0,1.03569231274544,3.82746079416418,4.20094632815282,1.75701330656194
"Mtap9",2248.3013272357,1978.54700372313,2534.30178481507,1060.63416327584,1436.00560322202,963.193850853259,902.323882224204,1016.62901141298,1198.28307507524
"Mtbp",48.7514318405699,41.2401856855442,45.1586205419649,103.810172278136,73.1996859213623,105.640615900035,112.910093427843,96.6217655475149,73.7945588756014
"Mtch1",4000.48514221148,3308.05203749044,3733.71474640966,3434.58771537274,3461.91455769267,2841.93970617349,2117.54268437133,3588.65840082455,3960.30799299061
"Mtch2",1212.33340062359,1552.39841830584,1436.94730564532,1637.62558593803,1486.59950378531,1560.78831530738,1724.27108777096,1493.43641965833,1658.62056139447
"Mtcp1",243.040226381665,262.169751858102,261.919999143397,267.170365863109,262.657696541359,303.457847634414,329.161628298119,187.992348184839,226.65471654649
"Mtdh",1608.79725073881,1554.36223667182,1693.44827032368,1450.92822184092,1525.35227868486,1534.89600748874,1670.68663665266,1265.53508135604,1207.06814160805
"Mterf",37.9974395227972,43.2040040515225,46.9649653636435,42.6506909359783,57.0526963798853,34.1778463205995,58.3687771110037,29.4066242970697,35.1402661312388
"Mterfd1",245.191024845219,239.585840649352,276.370757716825,265.560905827789,261.581230571927,250.637539684396,266.00852519441,232.102284630443,196.785490334937
"Mterfd2",283.188464368017,303.409937543647,259.210481910879,279.241316128009,282.034083991131,333.492924704031,288.016424760854,261.508908927513,358.430714538636
"Mterfd3",298.244053612898,363.306397705985,394.686343536773,414.435959094883,428.433455833856,417.384002036412,399.969652990156,406.441557248785,534.132045194829
"Mtf1",486.08045276333,535.140504729085,610.544549727366,509.394101178759,502.70960772465,468.132925360939,450.683508512832,448.451020530314,428.711246801113
"Mtf2",737.723872999213,838.550442272732,856.207445475655,694.482005240552,753.526178602259,808.875696254188,804.723631973018,623.840529730694,476.150606078285
"Mtfmt",152.706690912374,152.195923363318,152.636137431841,156.922353443694,143.169973934429,124.283077529453,125.349341008877,144.932648321272,137.047037911831
"Mtfp1",777.15517816438,725.63088622898,721.6347562606,626.079953739454,644.803115689647,608.987079894318,427.718743747847,563.977044554516,820.525214164425
"Mtfr1",169.196145799625,291.627027347777,172.505930470306,415.240689112543,313.251597104653,325.207386202068,416.236361365354,297.216952716812,240.710822998986
"Mtg1",157.008287839483,148.268286631361,141.79806850177,143.241943143474,122.717120515225,133.604308344162,124.392475810336,103.973421621782,114.205864926526
"Mthfd1",828.774341289689,1023.14936867469,876.07723851412,1108.91796433543,925.760733711347,960.086773915022,984.614289298734,1011.37782850279,1142.05864926526
