"","Liver_LTDR_rep1","Liver_LTDR_rep2","Liver_LTDR_rep3","Liver_LTAL_rep1","Liver_LTAL_rep2","Liver_LTAL_rep3","Liver_Young_rep1","Liver_Young_rep2","Liver_Young_rep3","Liver_STDR_rep1","Liver_STDR_rep2","Liver_STDR_rep3"
"Ushbp1",179.606715886839,177.798695449712,154.980237074195,136.256638642159,125.588235650944,145.030940937852,109.986521245369,123.424127790321,132.499086357693,165.525990411865,125.236751037105,132.179632803143
"Usmg5",226.430256604419,200.023532380926,268.632410928604,281.597053193795,289.96107348821,258.452574235403,428.055650252248,302.131979486724,235.553931302565,380.401344424782,298.988639863358,203.776933904845
"Uso1",997.970390219478,1087.37072541236,1061.98362452269,1043.6249211555,918.825694652129,888.77935600376,1123.64608191215,1637.94102921739,1779.05206010095,499.662306460659,798.807384993424,782.062827418595
"Usp1",186.595304053642,204.962385032307,235.422360126991,182.684826623931,180.071367293633,219.405782444443,413.192606840711,354.844367397173,244.852112801351,222.072136204738,269.653905386198,219.197891065212
"Usp10",801.591062732312,772.93043994111,907.741388577425,442.077094261226,489.424741875003,428.894919354673,448.863911028398,572.122259028051,566.414222967681,533.589993936383,628.440273222228,761.134385558098
"Usp11",16.0737527836471,13.1702737370157,12.5460191917205,19.1768602533409,8.31098618278308,21.692662106089,17.8356520938436,16.713683971606,13.9472722481782,34.9557992174124,30.4629934955119,19.8269449204714
"Usp12",564.677923877688,497.177833572343,543.90683201753,514.747301537044,516.204586241749,619.790345888256,520.206519403773,402.41408331636,355.655442328544,493.493636010528,396.018915441655,460.425720930948
"Usp13",0,0,0,0,0.923442909198119,1.85937103766477,26.7534781407655,3.85700399344754,2.32454537469637,7.1967821918202,3.38477705505688,1.10149694002619
"Usp14",564.677923877688,561.382918040295,571.95087491667,724.683455889407,772.921714998826,709.659946042054,606.412171190684,614.549302955974,702.012703158303,425.63826105908,449.047089304213,321.637106487648
"Usp15",1118.17410668849,926.858014242481,1299.61998803646,1056.74593080252,1114.59559140213,898.076211192084,918.536082832948,1009.24937828544,848.459061764174,1106.24823405693,926.300654067233,1121.32388494666
"Usp16",673.699899279816,627.234286725374,614.754940394305,500.616983455635,470.955883691041,430.13450004645,606.412171190684,628.691650931949,502.101800934415,506.85908865248,595.720761690011,515.500567932257
"Usp17l5",0,0,0,0,0,0,0,0,0,0,0,0
"Usp18",123.698010552414,198.377248163799,110.70016933871,137.265947076545,181.91825311203,250.395299738856,353.740433194566,231.420239606852,212.308477555601,129.542079452764,85.7476853947744,46.2628714811
"Usp19",770.841274798378,949.905993282259,817.705250848607,730.739306495725,715.668254628543,632.186152806021,897.727822056797,872.968570516959,1035.97238865635,652.850955972261,829.270378488936,807.397257039198
"Usp2",515.757806710066,726.834481861555,610.326933620757,33.3071783347499,24.0095156391511,21.692662106089,35.6713041876873,42.4270439279229,22.4706052887315,245.718706263575,337.349446487336,182.848492044348
"Usp20",88.0562109017187,153.104432192808,109.224167080861,74.6888241445907,61.870674916274,84.2914870408029,59.4521736461455,62.9977318929765,91.4321180713904,92.530056751974,119.595455945343,125.570651162986
"Usp21",95.743657885202,111.947326764634,98.8921512759146,92.8563759635452,120.047578195756,119.619536756433,112.959129927676,80.9970838623983,131.724237899461,92.530056751974,83.4911673580698,106.84520318254
"Usp22",711.438275380552,745.766750358515,729.145115377639,549.06378830618,591.003461886796,561.53005337476,541.014780179924,556.694243054261,602.057252046359,506.85908865248,599.105538745068,562.864936353383
"Usp24",3022.56438214233,2853.83369038959,2932.8164863469,2003.47724225693,1895.82829258374,1745.32961402133,2196.75781622508,2428.62684787413,2330.74416236222,1933.87818611626,1893.21863279515,2266.8807025739
"Usp25",887.55069718399,865.12235610022,846.487294876672,646.966706441657,838.486161551892,953.857342322027,829.35782236373,736.68776274848,714.410278490017,699.115984348248,720.957512727116,834.934680539852
"Usp26",0,0,0,0,0.923442909198119,0,0,0,0,0,0,0
"Usp27x",10.4828822502046,13.1702737370157,17.7120270941937,10.0930843438636,13.8516436379718,8.67706484243559,20.8082607761509,7.71400798689508,16.2718176228746,19.5341230920834,18.0521442936367,17.623951040419
"Usp28",153.050080852987,174.506127015458,162.360248363442,71.6608988414316,84.956747646227,84.9112773866911,169.438694891515,150.423155744454,101.505148028408,89.4457215269082,118.467196926991,106.84520318254
"Usp29",0,0,0,0,0,0,0,0,0,2.0562234833772,0,0
"Usp3",552.797323994123,480.714991401074,574.164878303445,420.881617139112,419.243080775946,454.306323536092,514.261302039159,511.695863130707,445.53786348347,659.019626422392,559.616473102738,574.981402693671
"Usp30",215.248515537535,212.370664009378,209.592320614625,160.480041067431,156.061851654482,129.536182290646,202.137390396895,188.993195678929,137.923025565318,212.81913052954,213.240954468584,214.791903305107
"Usp31",381.576913907448,253.527769437553,422.136645744949,174.61035914884,194.846453840803,167.963183735717,178.356520938436,173.565179705139,177.440296935156,250.859264972018,253.858279129266,269.866750306417
"Usp32",903.624449967637,852.775224471768,950.54545405506,579.343041337771,630.711506982316,568.967537525419,793.686518176042,829.255858591221,776.398155148586,617.895156754848,788.653053828254,768.844864138281
"Usp33",732.404039880961,735.889045055753,758.665160534629,898.284506603861,841.256490279487,717.097430192713,763.96043135297,826.684522595589,890.300878508708,692.947313898116,663.416302791149,713.770017136971
"Usp34",2071.41753264043,1811.73578094822,2402.93167577894,1137.49060555343,1145.99265031487,1191.85683514312,1551.7017321644,1780.65017697495,1717.06418344238,1339.62959942025,1778.13621292322,1586.15559363771
"Usp36",222.935962521018,365.475096202186,261.252399639356,106.986694044954,98.8083912841988,99.7862456880093,101.068695198447,140.137811761927,182.089387684549,165.525990411865,236.934393853982,210.385915545002
"Usp37",274.651514955361,255.17405365468,281.178430120324,202.870995311659,173.607266929246,205.150604489013,261.58956404304,242.991251587195,193.712114558031,172.722772603685,232.421357780573,215.893400245133
"Usp38",375.986043374005,443.673596515717,377.11857688054,517.775226840203,488.501298965805,365.676304074071,481.562606533778,372.843719366595,416.868470528882,348.529880432435,472.740528689611,418.568837209952
"Usp39",257.180044538353,278.222032694457,292.98644818312,270.494660415545,253.946800029483,319.192028132452,255.644346678426,245.562587582827,302.190898710528,308.43352250658,223.395285633754,296.302676867045
"Usp4",1110.48665970501,1286.57111568472,1109.21569677388,1276.77516949875,1326.0640176085,1145.99234954739,1325.78347230904,1506.80289344017,1762.78024247808,1017.83062427171,1085.38517565491,1213.84962790886
"Usp40",601.018582345064,630.526855159628,617.706944910004,892.228655997543,873.576992101421,584.462296172626,758.015213988355,606.835294969079,823.663911100746,643.597950297063,639.722863405751,921.952938801921
