"","Kidney_LTDR_rep1","Kidney_LTDR_rep2","Kidney_LTDR_rep3","Kidney_LTAL_rep1","Kidney_LTAL_rep2","Kidney_LTAL_rep3","Kidney_Young_rep1","Kidney_Young_rep2","Kidney_Young_rep3","Kidney_STDR_rep1","Kidney_STDR_rep2","Kidney_STDR_rep3"
"Cdkn1a",38.2818305349631,51.8307517674079,65.4653461414267,99.7985792917092,82.0423342834508,135.286462078641,45.2859080510826,148.87813902287,22.8640000197077,193.447328741522,147.58360418824,91.6548817248615
"Cdkn1b",929.204432075923,876.742716516294,972.160390200187,692.593573882806,711.248898000624,802.577795304372,781.026825154973,861.157862975422,740.79360063853,1108.84514579291,711.2709812961,937.584363873994
"Cdkn1c",450.681550388884,264.263832954953,309.323760518241,313.53030060743,383.725563498974,518.598104634792,609.808871427592,329.867249207535,301.804800260142,543.67549907748,414.054000639228,446.254096266949
"Cdkn2a",1.74008320613469,1.4600211765467,1.63663365353567,5.56816107636146,7.75203158583787,1.82819543349515,1.2407098096187,1.45958959826343,0,1.26436162576158,4.09954456078444,3.00507808933972
"Cdkn2aip",311.474893898109,286.164150603153,471.350492218273,310.960380110648,235.144958103749,296.167660226215,308.936742595057,316.730942823164,309.426133600045,274.366472790263,252.121990488243,292.995113710623
"Cdkn2aipnl",351.496807639207,324.124701193368,291.320790329349,344.797666651613,330.753347662416,351.622921708901,297.770354308488,300.675457242266,249.979733548804,379.308487728475,345.386629246089,461.279486713647
"Cdkn2b",29.5814145042897,91.9813341224422,340.419799935419,103.653460036883,58.7862395259371,65.8150356058255,94.9143004358307,62.7623527253274,15.2426666798052,51.8388266562249,92.2397526176498,57.0964836974547
"Cdkn2c",201.849651911624,157.682287067044,315.870295132384,242.857486945919,302.329231847677,223.039842886409,288.465030736348,249.589821303046,150.902400130071,308.504236685826,209.076772600006,300.507808933972
"Cdkn2d",5.22024961840406,5.8400847061868,8.18316826767834,6.85312132475257,9.69003948229733,10.3597741231392,4.34248433366546,8.75753758958056,7.62133333990258,5.05744650304633,4.09954456078444,13.5228514020288
"Cdkn3",1.74008320613469,5.8400847061868,4.909900960607,4.71152091076739,11.6280473787568,17.0631573792881,8.68496866733091,5.83835839305371,10.6698666758636,10.1148930060927,4.09954456078444,13.5228514020288
