"","Blood_Young_rep1","Blood_Young_rep2","Blood_Young_rep3","Blood_LTDR_rep2","Blood_LTDR_rep3","Blood_LTAL_rep2","Blood_LTAL_rep3","Blood_STDR_rep1","Blood_STDR_rep2","Blood_STDR_rep3"
"Pim1",356.281697769708,285.892875005271,349.404179458469,423.253948849932,341.722006024788,860.145577540066,760.017149937911,265.432034053169,299.888442750386,254.020526450485
"Pim2",19.4521616598404,25.7772264349015,20.9787188494733,17.5312286505889,19.2132854793054,21.0257807843127,30.0571754212733,45.179920689901,46.3595660290451,35.0373139931703
"Pim3",40.9519192838744,42.1809159843843,41.9574376989466,26.2968429758834,26.0751731504859,19.114346167557,22.9007050828749,34.5908767782055,43.4620931522298,40.6683108849298
"Pin1",50.1661011227462,55.0695292018351,34.7233967163696,48.8369940980691,46.6608361640273,43.9629961853811,45.8014101657498,45.179920689901,28.9747287681532,60.6896331667414
"Pin4",4.09519192838744,0,3.6170204912885,1.25223061789921,0,0,0,1.41187252155941,4.34620931522298,1.87699896391984
"Pink1",770.919880518936,584.283799191101,765.361535956646,1943.46191897957,1914.46666025936,4442.17404934025,3004.28624805965,781.471440683132,961.960995102687,565.602354461178
"Pinx1",16.3807677135498,17.9659456970526,20.9787188494733,23.7923817400849,16.4685304108332,17.2029115508013,18.6068228798359,17.6484065194926,18.8335736992996,18.1443233178918
"Pion",157.664889242917,66.7864503086085,71.6170057275123,161.537749708998,185.270967121873,259.955107878775,259.064226250022,115.773546767871,104.309023565352,95.7269471599117
"Pip",3.07139394629058,0,0,0,0,0,0,0.705936260779704,0,0
"Pip4k2a",787.300648232486,564.755597346479,915.10618429599,891.588199944235,786.372327117284,1267.28115090903,1321.08442446835,543.570920800372,672.213707421154,471.126739943879
"Pip4k2b",109.546384084364,137.869105023034,120.085080310778,81.3949901634485,108.417825204652,78.3688192869838,72.9959974516638,117.185419289431,89.821659181275,87.5932849829258
"Pip4k2c",87.0228284782332,92.9542407804025,84.6382794961509,92.6650657245413,76.8531419172215,89.837426987518,70.1334093163044,127.068526940347,86.9241863044596,91.972949232072
"Pip5k1a",85.9990304961363,71.8637827882103,88.2552999874394,80.1427595455493,85.0874071226381,78.3688192869838,77.2898796547028,91.7717139013615,78.2317676740137,56.9356352389017
"Pip5k1b",674.682870201832,384.705576339061,613.446675322529,1056.88264150693,960.664273965269,1498.56473953647,1595.89288546285,361.439365519208,588.18699399351,199.587556496809
"Pip5k1c",160.736283189207,150.367154203592,122.978696703809,107.691833139332,109.790202738888,103.217469304808,107.347055075976,247.783627533676,172.399636170512,160.170578254493
"Pip5kl1",4.09519192838744,3.12451229513958,5.0638286878039,0,2.7447550684722,1.9114346167557,1.43129406767968,0.705936260779704,0,0
"Pipox",0,4.29620440581692,5.7872327860616,0,2.7447550684722,0,0,1.41187252155941,14.4873643840766,2.50266528522645
"Pir",24.5711515703247,11.326357069881,30.3829721268234,27.5490735937826,37.0541934243747,42.0515615686254,35.782351691992,7.76529886857674,14.4873643840766,1.25133264261322
"Pira2",7.16658587467803,11.7169211067734,4.3404245895462,20.0356898863873,10.9790202738888,9.55717308377851,11.4503525414375,16.2365339979332,14.4873643840766,14.3903253900521
"Pirt",3.07139394629058,1.95282018446224,3.6170204912885,0,1.3723775342361,0,0,0,0,0
"Pisd",71.6658587467803,57.0223493862973,49.9148827797813,76.3860676918516,37.0541934243747,51.6087346524039,67.270821180945,52.2392832976981,89.821659181275,75.0799585567935
"Pitpna",289.734828933412,234.728986172361,156.255285223663,251.698354197741,190.760477258818,265.689411729043,379.292927935116,239.31239240432,359.2866367251,362.886466357835
"Pitpnb",38.9043233196807,45.6959923164163,41.9574376989466,36.314687919077,45.2884586297912,51.6087346524039,40.0762338950311,48.0036657330199,53.6032482210834,59.4383005241282
"Pitpnc1",144.355515475657,124.589927768691,107.787210640397,92.6650657245413,131.748243286665,160.560507807479,124.522583888132,150.364423546077,101.411550688536,127.635929546549
"Pitpnm1",249.806707631634,124.589927768691,140.340395061994,149.015443530006,242.910823559789,332.589623315492,259.064226250022,194.132471714419,221.656675076372,163.298909861026
"Pitpnm2",53.2374950690368,69.5203985668556,44.8510540919774,31.3057654474802,46.6608361640273,38.228692335114,28.6258813535936,68.4758172956313,52.1545117826758,26.9036518161843
"Pitpnm3",19.4521616598404,10.1546649592036,11.5744655721232,1.25223061789921,16.4685304108332,1.9114346167557,1.43129406767968,0,0,0
"Pitrm1",78.8324446214583,81.6278837105215,109.234018836913,113.952986228828,152.333906300207,217.90354631015,271.94587285914,105.184502856176,86.9241863044596,80.0852891272464
"Pitx1",1.02379798209686,1.17169211067734,0.7234040982577,0,0,0,0,0,0,0
"Pitx2",4.09519192838744,1.56225614756979,2.1702122947731,0,2.7447550684722,0,0,0.705936260779704,0,0
"Pitx3",0,0.390564036892447,1.4468081965154,0,2.7447550684722,0,0,0.705936260779704,0,0
"Piwil1",8.19038385677489,3.90564036892447,5.0638286878039,0,5.48951013694439,0,0,0.705936260779704,0,0
"Piwil2",9.21418183887175,5.07733247960182,7.9574450808347,5.00892247159683,9.60664273965269,3.8228692335114,5.72517627071873,2.82374504311881,0,4.37966424914629
"Piwil4",4.09519192838744,1.95282018446224,2.1702122947731,0,9.60664273965269,1.9114346167557,1.43129406767968,1.41187252155941,1.44873643840766,0.625666321306612
"Pja1",61.4278789258117,113.654134735702,100.55316965782,56.3503778054643,74.1083868487493,57.343038502671,37.2136457596717,81.8886062504456,73.8855583587907,92.5986155533787
"Pja2",115.689171976945,91.3919846328327,84.6382794961509,107.691833139332,119.396845478541,89.837426987518,120.228701685093,135.539762069703,98.5140778117209,117.625268405643
"Pkd1",202.712000455178,240.97801076264,220.638249968598,162.789980326897,190.760477258818,118.508946238853,124.522583888132,431.327055336399,220.207938637964,250.892194843952
"Pkd1l1",31.7377374450027,12.8886132174508,21.702122947731,37.5669185369762,39.7989484928468,51.6087346524039,37.2136457596717,27.5315141704084,7.2436821920383,4.37966424914629
"Pkd1l2",19.4521616598404,12.4980491805583,18.0851024564425,3.75669185369762,35.6818158901386,3.8228692335114,1.43129406767968,10.5890439116956,0,21.8983212457314
"Pkd1l3",69.6182627825866,17.1848176232677,20.2553147512156,176.564517123788,248.400333696734,181.586288591792,150.285877106367,71.2995623387501,53.6032482210834,37.5399792783967
"Pkd2",19.4521616598404,9.76410092231118,7.234040982577,12.5223061789921,12.3513978081249,5.73430385026711,14.3129406767968,6.35342634701733,20.2823101377072,19.395655960505
"Pkd2l1",4.09519192838744,1.56225614756979,2.8936163930308,0,4.11713260270829,0,0,0,1.44873643840766,0.625666321306612
"Pkd2l2",18.4283636777435,16.7942535863752,17.3616983581848,20.0356898863873,26.0751731504859,38.228692335114,22.9007050828749,6.35342634701733,8.69241863044596,14.3903253900521
"Pkdcc",17.4045656956466,6.24902459027916,2.1702122947731,7.51338370739524,1.3723775342361,15.2914769340456,8.58776440607809,4.23561756467822,20.2823101377072,16.8929906752785
"Pkdrej",12.2855757851623,4.29620440581692,4.3404245895462,2.50446123579841,1.3723775342361,0,1.43129406767968,0,2.89747287681532,0
"Pkhd1",18.4283636777435,4.68676844270937,8.6808491790924,1.25223061789921,13.723775342361,0,1.43129406767968,0,8.69241863044596,0
"Pkhd1l1",144.355515475657,75.3788591202424,183.744640957456,118.961908700425,155.078661368679,208.346373226371,253.339049979304,91.0657776405818,166.604690416881,48.1763067406092
"Pkia",4.09519192838744,2.34338422135468,5.0638286878039,1.25223061789921,0,3.8228692335114,1.43129406767968,2.11780878233911,1.44873643840766,3.12833160653306
