"","Heart_Young_rep1","Heart_Young_rep2","Heart_Young_rep3","Heart_LTDR_rep1","Heart_LTDR_rep2","Heart_LTDR_rep3","Heart_LTAL_rep1","Heart_LTAL_rep2","Heart_LTAL_rep3","Heart_STDR_rep1","Heart_STDR_rep2","Heart_STDR_rep3"
"Gm10923",0,0,0,0,1.10896758225197,0,0,0.715161334084534,1.17574928128525,0,0,0
"Gm10925",0,0,0,0,0,0.670621785844485,0.780622086565894,4.29096800450721,2.3514985625705,0,0,0
"Gm10929",0,0,0,0,0,0,0,0,0,0,0,0
"Gm10930",0,0,0,0,0,0,0,0,0,0,0,0
"Gm10931",0,0,0,0,0,0,0,0,0,0,0,0
"Gm10935",0,0,0,0,0,0.670621785844485,0,0,0,0,0,0
"Gm10936",0,0,0,0,0,0,0,0,0,0,0,0
"Gm10941",0,2.37789973533322,2.29237656512617,3.01520339303672,0,2.68248714337794,1.56124417313179,2.1454840022536,0,2.67281717405436,0,0
"Gm10942",7.20632700002684,10.7005488089995,10.6977573039221,0.753800848259181,17.7434813160315,2.01186535753346,7.02559877909305,4.29096800450721,16.4604899379935,2.67281717405436,13.9788410520848,3.06245189883553
"Gm10943",1.02947528571812,0,0,0.753800848259181,1.10896758225197,1.34124357168897,0,0.715161334084534,0,0,0,0
"Gm10944",0,0,0,0,0,0,0,0,0,0,0,0
"Gm10945",0,0,0,0,0,0,0,0,0,0,0,0
"Gm10948",0,0,0,0,0,0,0,0,0,0,0,0
"Gm10955",0,0,0,0,0,0,0,0,0,0,0,0
"Gm10959",0,0,0,0,0,0,0,0,0,0,0,0
"Gm10961",0,0,0,0,1.10896758225197,0,0.780622086565894,0.715161334084534,0,0,0,0
"Gm10963",0,0,0,0,0,0,0,0,0,0,0,0
"Gm10964",0,4.75579947066643,1.52825104341744,6.03040678607345,2.21793516450394,1.34124357168897,0.780622086565894,2.1454840022536,2.3514985625705,3.56375623207249,3.99395458630995,1.53122594941777
"Gm10967",0,0,0,0,0,0,0,0,0,0.890939058018122,0,0
"Gm10972",0,0,0.764125521708722,0.753800848259181,0,0,0,0,0,0,0,0
"Gm10973",1.02947528571812,0,0,0,0,0,0,0,1.17574928128525,0.890939058018122,0,0
"Gm10974",0,0,0.764125521708722,0.753800848259181,0,2.01186535753346,0,1.43032266816907,0,0,0,0
"Gm10979",0,0,0,0,0,0,0,0,0,0,0,0
"Gm10982",0,0,0,0,0,0,0,0,0,0,0,0
"Gm10985",0,0,0,0,0,0,0,0,0,0,0,0
"Gm10989",0,0,0.764125521708722,0,0,0,0,0,0,0,0,0
"Gm10991",0,0,0,0,0,0,0,0.715161334084534,0,0,0,0
"Gm10995",0,0,0,0,0,0,0,0,0,0,0,0
"Gm10999",0,0,0.764125521708722,0,0,0,0,0,0,0,0,0
"Gm11003",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11006",0,1.18894986766661,0,0.753800848259181,0,2.01186535753346,0,0,0,0,1.99697729315497,1.53122594941777
"Gm11007",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11008",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11009",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11011",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11016",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11020",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11027",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11029",0,1.18894986766661,1.52825104341744,3.76900424129591,0,4.6943525009114,0.780622086565894,0.715161334084534,0,1.78187811603624,0,1.53122594941777
"Gm11031",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11032",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11034",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11035",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11037",0,0,0,0,1.10896758225197,2.01186535753346,0.780622086565894,0,1.17574928128525,1.78187811603624,1.99697729315497,0
"Gm11042",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11043",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11044",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11048",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11051",3.08842585715436,0,0.764125521708722,0,0,0,0,0,0,0.890939058018122,0,0
"Gm11053",0,0,0.764125521708722,0,0,1.34124357168897,0.780622086565894,1.43032266816907,0,0,0,0
"Gm11060",0,0,0,1.50760169651836,0,1.34124357168897,0,0,0,0,0,0
"Gm11062",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11067",0,0,0,0,0,0.670621785844485,0.780622086565894,0,0,0,0,0
"Gm11074",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11077",0,0,0,0,1.10896758225197,0,0,0.715161334084534,0,0,0,0
"Gm11078",0,0,0,0,0,0,0,0,0,0.890939058018122,0,0
"Gm11081",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11082",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11084",0,1.18894986766661,0.764125521708722,0,1.10896758225197,4.6943525009114,0,2.1454840022536,0,0.890939058018122,0,0
"Gm11091",0,0,0,0,1.10896758225197,0,0,0,0,0,0,0
"Gm11092",0,0,0,0,0,0.670621785844485,0,0,0,0.890939058018122,1.99697729315497,0
"Gm11096",2.05895057143624,1.18894986766661,3.82062760854361,1.50760169651836,4.43587032900788,4.02373071506691,3.12248834626358,2.86064533633814,2.3514985625705,1.78187811603624,0,3.06245189883553
"Gm11099",0,0,0,0,0,0,0,0,0,0,0,0
"Gm1110",0,1.18894986766661,0.764125521708722,1.50760169651836,0,0,0,0,0,0,0,0
"Gm11102",0,0,1.52825104341744,0,0,0,0.780622086565894,0,0,0.890939058018122,0,0
"Gm11109",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11110",4.11790114287248,2.37789973533322,0.764125521708722,5.27660593781427,3.32690274675591,4.02373071506691,2.34186625969768,7.86677467492988,5.87874640642625,4.45469529009061,3.99395458630995,3.06245189883553
"Gm11111",0,0,0,0.753800848259181,0,0.670621785844485,0,0,0,0,0,0
"Gm11114",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11115",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11116",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11127",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11128",0,0,1.52825104341744,0,0,0,0.780622086565894,0,0,0,0,0
"Gm11129",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11140",1.02947528571812,0,0,2.26140254477754,0,0.670621785844485,0.780622086565894,0,0,0,0,0
"Gm11143",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11145",0,0,0,0.753800848259181,0,0,0,1.43032266816907,0,0.890939058018122,0,0
"Gm11146",1.02947528571812,1.18894986766661,0.764125521708722,6.03040678607345,0,4.02373071506691,0.780622086565894,7.15161334084534,0,1.78187811603624,0,0
"Gm11147",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11149",2.05895057143624,2.37789973533322,0,0,2.21793516450394,2.01186535753346,0.780622086565894,0,1.17574928128525,0,0,1.53122594941777
"Gm11157",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11158",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11160",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11161",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11165",0,0,0,0,0,0.670621785844485,0,0,0,0,0,0
"Gm11167",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11168",0,1.18894986766661,0,4.52280508955509,0,0,0.780622086565894,0.715161334084534,0,1.78187811603624,0,0
"Gm11169",0,0,0,0,0,0.670621785844485,0.780622086565894,0,0,0.890939058018122,0,0
"Gm11172",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11175",0,0,0,0,0,0,0,0,0,0,0,0
"Gm1123",0,1.18894986766661,1.52825104341744,2.26140254477754,1.10896758225197,0.670621785844485,0.780622086565894,1.43032266816907,0,0.890939058018122,1.99697729315497,0
"Gm11232",0,0,0,0,1.10896758225197,0,0.780622086565894,0,0,0,0,0
"Gm11236",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11237",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11238",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11239",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11273",2209.25396315108,1419.60614199393,2390.94875742659,798.275098306473,2407.56862106903,925.458064465389,1456.64081353196,848.896503558342,2596.05441307783,1863.84450937391,6414.29106561378,6591.92771224349
"Gm11353",0,0,1.52825104341744,0,0,2.01186535753346,1.56124417313179,0.715161334084534,0,0.890939058018122,3.99395458630995,0
"Gm11360",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11397",0,0,0,0,0,0,0,0,2.3514985625705,0,0,0
"Gm1140",0,0,0,0,0,0,0,0,0,0,0,0
"Gm1141",0,1.18894986766661,0,1.50760169651836,0,3.35310892922243,1.56124417313179,0,0,0.890939058018122,0,0
"Gm11428",571.358783573556,469.63519772831,537.180241761232,478.66353864458,418.080778508993,624.348882621216,981.241962813329,1556.90622430203,1655.45498804963,694.932465254135,621.059938171197,563.491149385738
"Gm11435",2.05895057143624,3.56684960299982,0,3.76900424129591,2.21793516450394,5.36497428675588,0,2.1454840022536,0,1.78187811603624,0,1.53122594941777
"Gm11437",0,0,0,1.50760169651836,0,0.670621785844485,3.12248834626358,0.715161334084534,0,0.890939058018122,1.99697729315497,0
"Gm11444",0,0,0,0,0,0,0,0.715161334084534,0,0.890939058018122,0,0
"Gm11487",0,0,0,0,1.10896758225197,0,0,0,0,0.890939058018122,0,0
"Gm11492",0,0,0.764125521708722,0,0,0,0.780622086565894,0,1.17574928128525,0,0,0
"Gm1153",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11541",0,1.18894986766661,0,1.50760169651836,0,0.670621785844485,0,0,0,0,1.99697729315497,0
"Gm11554",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11555",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11559",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11562",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11563",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11564",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11565",0,1.18894986766661,0,0,0,0,0,0,0,0,0,0
"Gm11567",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11568",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11569",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11570",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11595",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11596",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11627",59.7095665716509,68.9590923246633,72.5919245623286,15.0760169651836,7.76277307576379,24.8130060762459,63.2303890118374,52.206777388171,19.9877377818492,7.12751246414497,37.9425685699445,10.7185816459244
"Gm11639",1.02947528571812,9.51159894133286,1.52825104341744,6.03040678607345,0,2.01186535753346,1.56124417313179,1.43032266816907,0,7.12751246414497,1.99697729315497,0
"Gm11678",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11696",11.3242281428993,5.94474933833304,9.93363178221339,9.04561017911017,18.8524488982835,10.0593267876673,5.46435460596126,7.86677467492988,10.5817435315672,13.3640858702718,7.98790917261989,6.12490379767107
"Gm11709",1.02947528571812,1.18894986766661,0,2.26140254477754,4.43587032900788,2.68248714337794,1.56124417313179,3.57580667042267,0,5.34563434810873,3.99395458630995,1.53122594941777
"Gm11710",0,0,0,1.50760169651836,2.21793516450394,0,0.780622086565894,2.1454840022536,0,1.78187811603624,0,1.53122594941777
"Gm11711",0,0,0,0,0,0.670621785844485,0,0.715161334084534,0,0,0,0
"Gm11733",0,0,0,0.753800848259181,1.10896758225197,0.670621785844485,0,0,0,0,0,1.53122594941777
"Gm11735",0,0,0,0,0,0.670621785844485,0,0.715161334084534,0,0,0,1.53122594941777
"Gm11744",19.5600304286443,15.4563482796659,9.93363178221339,9.79941102736935,17.7434813160315,10.0593267876673,21.0767963372791,12.1577426794371,14.108991375423,19.6006592763987,11.9818637589298,19.905937342431
"Gm11756",4.11790114287248,0,3.05650208683489,0.753800848259181,5.54483791125985,0,4.68373251939537,3.57580667042267,8.23024496899675,0.890939058018122,15.9758183452398,21.4371632918487
"Gm11757",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11758",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11808",870.936091717529,619.442881054303,1039.21070952386,429.666483507733,1140.01867455502,555.274838679234,673.676860706367,370.453571055789,760.709784991556,841.046470769107,2536.16116230682,2123.81039184244
"Gm11937",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11938",1.02947528571812,0,0,0,0,0,0,0,0,0,0,0
"Gm11939",0,0,0,0,0,0,0,0,0,0,0,0
"Gm11992",31.9137338572617,7.13369920599965,4.58475313025233,32.4134364751448,29.9421247208032,29.5073585771573,5.46435460596126,62.934197399439,2.3514985625705,12.4731468122537,23.9637275178597,19.905937342431
"Gm12033",0,0,0,0,0,0,0,0,0,0,0,0
"Gm12166",107.065429714684,115.328137163661,123.024208995104,106.285919604545,88.7174065801576,96.5695371616059,99.9196270804345,118.001620123948,112.871931003384,113.149260368301,77.882114433044,96.4672348133193
"Gm12169",1.02947528571812,0,0,0,0,0,0,0,0,0,0,0
"Gm12184",68.974844143114,82.0375408689959,107.74169856093,50.5046568333651,87.6084389979056,53.6497428675588,84.3071853491166,62.934197399439,98.7629396279609,65.929490293341,83.8730463125089,125.560527852257
"Gm12185",16.4716045714899,5.94474933833304,14.5183849124657,12.0608135721469,11.0896758225197,14.7536792885787,8.58684295222484,19.3093560202824,17.6362392192787,4.45469529009061,1.99697729315497,6.12490379767107
"Gm12216",40.1495361430067,38.0463957653315,18.3390125210093,34.6748390199223,35.486962632063,42.919794294047,36.689238068597,25.7458080270432,16.4604899379935,23.1644155084712,39.9395458630995,27.5620670895198
"Gm12253",1.02947528571812,0,0,0,0,0.670621785844485,0,0,0,0,0,0
"Gm12258",93.6822510003489,57.0695936479972,80.9973053011246,73.8724831293997,59.8842494416064,87.8514539456276,58.5466564924421,77.2374240811297,43.5027234075542,92.6576620338846,43.9335004494094,64.3114898755462
"Gm12353",10.2947528571812,19.0231978826657,6.11300417366978,8.29180933085099,4.43587032900788,12.0711921452007,5.46435460596126,10.727420011268,2.3514985625705,12.4731468122537,5.99093187946492,4.5936778482533
"Gm12355",61.7685171430872,117.706036898994,109.269949604347,78.3952882189548,95.3712120736694,89.863319303161,83.5265632625507,77.9525854152142,101.114438190531,67.7113684093772,69.8942052604241,107.185816459244
"Gm12394",0,1.18894986766661,0,1.50760169651836,0,1.34124357168897,0.780622086565894,0.715161334084534,0,2.67281717405436,0,0
"Gm12429",0,1.18894986766661,0.764125521708722,1.50760169651836,2.21793516450394,2.68248714337794,0.780622086565894,0,0,2.67281717405436,1.99697729315497,1.53122594941777
"Gm12500",0,3.56684960299982,0.764125521708722,3.01520339303672,4.43587032900788,2.68248714337794,1.56124417313179,2.1454840022536,0,1.78187811603624,1.99697729315497,1.53122594941777
"Gm12588",0,0,0,0,0,0,0,0,0,0,0,0
"Gm12597",0,0,0,0,0,0,0,0,0,0,0,0
"Gm12666",0,0,0,0,0,0,0.780622086565894,0,0,0,0,0
"Gm12689",3.08842585715436,0,0,0.753800848259181,0,0.670621785844485,0.780622086565894,1.43032266816907,1.17574928128525,0,0,0
"Gm12695",0,0,0,67.0882754950671,0,66.391556798604,0,65.0796814016926,0,0,0,0
"Gm12769",1.02947528571812,0,0,0,0,0,0,0,0,0,0,0
