"","Muscle_LTDR_rep1","Muscle_LTDR_rep2","Muscle_LTDR_rep3","Muscle_LTAL_rep1","Muscle_LTAL_rep3","Muscle_Young_rep1","Muscle_Young_rep2","Muscle_Young_rep3","Muscle_STDR_rep1","Muscle_STDR_rep2"
"Bdp1",411.003716437742,410.894883924158,403.900704599447,457.773757769267,349.273736800436,443.326443939171,458.767228395054,433.098375488991,392.609143435708,361.825350884884
"Bean1",0.94266907439849,1.68055167249144,5.14523190572544,7.16871656461939,2.01310511124171,0,6.16385911471282,4.28810272761377,0,2.63465061323945
"Becn1",337.475528634659,352.075575386957,372.17177451414,324.640450140621,335.182001021744,293.138301706717,235.107197661189,283.014780022509,334.273350896911,371.485736466762
"Begain",1.88533814879698,0.840275836245721,3.43015460381696,3.0723070991226,1.00655255562085,1.80949568954764,23.7748851567495,5.36012840951721,0.925964960933273,2.63465061323945
"Bend3",31.1080794551502,36.9721367948117,45.4495485005747,53.2533230514584,51.3341803366636,72.3798275819055,44.9081164071934,68.6096436418203,55.5578976559963,29.8593736167138
"Bend4",21.6813887111653,8.40275836245721,17.1507730190848,38.9158899222196,18.1179460011754,12.6664698268335,18.4915773441385,15.0083595466482,9.25964960933273,24.5900723902349
"Bend5",7.54135259518792,5.04165501747433,6.00277055667968,25.602559159355,2.01310511124171,5.42848706864291,5.28330781261099,9.64823113713098,5.55578976559964,10.5386024529578
"Bend6",3.77067629759396,5.04165501747433,7.71784785858816,8.19281893099359,16.1048408899337,9.04747844773819,54.5941807303136,9.64823113713098,11.1115795311993,15.8079036794367
"Bend7",10.3693598183834,27.7291025961088,24.0110822267187,16.3856378619872,12.0786306674503,27.1424353432146,18.4915773441385,17.1524109104551,18.5192992186655,12.2950361951174
"Best1",14.1400361159774,7.56248252621149,11.1480024624051,15.361535495613,12.0786306674503,10.8569741372858,7.04441041681465,8.57620545522754,21.2971941014653,20.1989880348358
"Best2",0,0,0.85753865095424,0,0,0,3.52220520840733,1.07202568190344,0,0
"Best3",105.578936332631,61.3401360459376,55.7400123120256,49.1569135859616,73.4783365603224,188.187551712954,81.8912710954703,217.621213426399,54.6319326950631,36.8851085853523
"Bet1",366.698269941013,339.471437843271,355.87854014601,283.676355485653,255.664349127697,282.281327569431,293.22358359991,295.87908820535,237.972994959851,214.284916543475
"Bet1l",73.5281878030822,136.124685471807,128.630797643136,107.530748469291,127.832174563848,79.6178103400961,98.6217458354051,75.041797733241,116.671585077592,108.898892013897
"Bet3l",0,0,0,2.0482047327484,1.00655255562085,0,1.76110260420366,0,0,0
"Bex1",58.4454826127064,24.3679992511259,34.3015460381696,29.6989686248518,66.4324686709764,99.5222629251201,70.4441041681465,45.0250786399446,94.4484260151938,42.1544098118312
"Bex2",0,0,0,0,0,0,26.4165390630549,0,1.85192992186655,0
"Bex4",0,0,0,0,0,0,1.76110260420366,1.07202568190344,0.925964960933273,3.51286748431927
"Bex6",0.94266907439849,0.840275836245721,0,1.0241023663742,0,0,1.76110260420366,0,0,3.51286748431927
"Bfar",471.334537199245,506.68632925617,450.207791750976,315.423528843253,356.319604689782,483.135349109219,361.026033861751,369.848860256688,352.792650115577,340.748145978969
"Bfsp1",6.59868352078943,0.840275836245721,8.5753865095424,3.0723070991226,14.091735778692,3.61899137909528,8.80551302101832,7.5041797733241,8.33368464839945,11.4168193240376
"Bfsp2",4.71334537199245,3.36110334498288,3.43015460381696,10.241023663742,1.00655255562085,0,4.40275651050916,2.14405136380688,0.925964960933273,4.39108435539908
"Bglap",0,1.68055167249144,5.14523190572544,3.0723070991226,0,0,19.3721286462403,1.07202568190344,0,67.6226990731459
"Bglap-rs1",0,0,0,138.253819460517,0,0,12.3277182294256,1.07202568190344,29.6308787498647,0
"Bglap2",0,0,0,0,0,0,10.566615625222,6.43215409142065,0,24.5900723902349
"Bgn",509.041300175185,769.692666001081,686.888459414346,670.7870499751,1102.17504840484,1367.97874129801,912.251148977497,860.836622568464,1036.15479128433,1712.52289860564
"Bhlha15",5.65601444639094,1.68055167249144,5.14523190572544,98.3138271719231,3.01965766686256,0,14.0888208336293,6.43215409142065,2.77789488279982,6.14751809755871
"Bhlha9",0,0,0,5.120511831871,0,1.80949568954764,0.880551302101832,3.21607704571033,0,0
"Bhlhb9",151.769720978157,92.4303419870293,86.6114037463782,70.6630632798198,42.2752073360759,74.1893232714531,129.441041408969,67.5376179599169,43.5203531638638,49.1801447804697
"Bhlhe22",0.94266907439849,0,0,3.0723070991226,1.00655255562085,0,14.9693721357311,1.07202568190344,0.925964960933273,1.75643374215963
"Bhlhe23",0,0,0.85753865095424,1.0241023663742,0,0,0.880551302101832,0,0,0.878216871079816
"Bhlhe40",548.633401299921,868.845214678076,402.185627297538,300.06199334764,479.119016475527,564.562655138863,465.811638811869,801.875210063775,307.420367029846,319.670941073053
"Bhlhe41",169.680433391728,166.374615576653,78.0360172368358,72.7112680125681,108.707676007052,124.855202578787,117.993874481645,137.219287283641,47.2242130075969,88.6999039790615
"Bhmt",0.94266907439849,6.72220668996577,0,6.1446141982452,7.04586788934598,1317.31286199068,22.8943338546476,55.745335458979,0.925964960933273,0
"Bhmt-ps1",0,0,0,3.0723070991226,0,0,0.880551302101832,0,0.925964960933273,0
"Bhmt2",5.65601444639094,22.6874475786345,0,3.0723070991226,0,180.949568954764,3.52220520840733,20.3684879561654,38.8905283591974,0
"Bicc1",268.66068620357,241.999440838768,229.820358455736,184.338425947356,380.476866024683,229.80595257255,338.131700007103,255.142112293019,332.421420975045,410.127278794274
"Bicd1",31.1080794551502,40.3332401397946,48.0221644534374,45.0605041204648,42.2752073360759,37.9994094805004,115.35222057534,34.3048218209101,114.819655155726,77.2830846550238
"Bicd2",281.858053245149,282.332680978562,300.996066484938,533.557332880958,348.267184244816,291.32880601717,301.148545318826,368.776834574784,315.754051678246,324.062025428452
"Bid",30.1654103807517,17.6457925611601,24.0110822267187,56.325630150581,25.1638138905214,16.2854612059287,26.4165390630549,11.7922825009379,28.7049137889314,33.372241101033
"Bik",5.65601444639094,2.52082750873716,8.5753865095424,6.1446141982452,8.05242044496683,16.2854612059287,10.566615625222,11.7922825009379,8.33368464839945,11.4168193240376
"Bin1",2083.29865442066,1650.3017423866,1565.86557664244,884.824444547308,3077.03116253295,2032.063659362,1633.4226653989,2421.70601541988,1940.82255811614,1586.05966917015
"Bin2",24.5093959343607,10.9235858711944,36.8741619910323,75.7835751116907,12.0786306674503,14.4759655163811,19.3721286462403,45.0250786399446,13.8894744139991,116.802843853616
"Bin3",65.9868352078943,63.8609635546748,78.0360172368358,78.8558822108133,67.4390212265972,52.4753749968815,63.3996937513319,49.3131813675583,108.337900429193,106.264241400658
"Birc2",415.717061809734,384.006057164295,364.453926655552,408.616844183305,284.854373240702,399.898547390028,355.74272604914,352.696449346232,366.682124529576,288.93335058526
"Birc3",162.13908079654,113.437237893172,126.058181690273,260.122001059047,184.199117678616,139.331168095168,144.4104135447,135.075235919834,126.857199647858,191.4512778954
"Birc5",4.71334537199245,6.72220668996577,6.86030920763392,14.3374331292388,10.0655255562085,7.23798275819055,4.40275651050916,7.5041797733241,12.9635094530658,76.404867783944
"Birc6",2285.02983634194,2267.06420619096,2179.86325072568,2401.5200491475,1791.66354900512,2531.48446967714,2151.18683103477,2499.96389019883,1934.34080338961,2034.82849029193
"Birc7",0,0,0,1.0241023663742,0,1.80949568954764,1.76110260420366,1.07202568190344,0,0
"Bivm",149.88438282936,121.83999625563,152.641879869855,98.3138271719231,104.681465784569,124.855202578787,124.157733596358,126.499030464606,95.3743909761271,77.2830846550238
"Blcap",229.068585078833,221.83282076887,235.823129012416,397.351718153189,223.45466734783,211.710995677074,213.093415108643,252.998060929212,162.043868163323,132.610747533052
"Blk",16.0253742647743,1.68055167249144,3.43015460381696,72.7112680125681,3.01965766686256,16.2854612059287,5.28330781261099,20.3684879561654,2.77789488279982,38.6415423275119
