"","Skin_LTDR_rep1","Skin_LTDR_rep3","Skin_LTAL_rep1","Skin_LTAL_rep2","Skin_Young_rep1","Skin_Young_rep2","Skin_Young_rep3","Skin_STDR_rep1","Skin_STDR_rep2","Skin_STDR_rep3"
"BC031181",138.683188085522,159.132275664031,162.722771058847,129.309129793962,140.161849048158,203.485296796725,156.735342181219,397.837032002574,186.176659701983,205.137433124643
"BC031353",950.344794143947,857.44214416619,613.499468758035,524.257829390903,304.181034104513,524.777870686292,350.153424021872,1996.76300824149,592.586685148994,650.61740340852
"BC031781",78.8304437538758,90.7990043494764,113.559721079365,97.7132338262063,110.340179037912,69.6133910094061,100.043835434821,83.3563305148251,88.5474357119187,86.6587176236115
"BC032203",177.368498446221,175.045503230434,168.262269648084,186.649829883592,137.179682047133,121.823434266461,136.726575094255,134.885698469444,163.472189006619,191.597008495953
"BC034090",39.4152218769379,30.8903829230178,45.0084260375534,45.0534072132808,50.6968390174189,21.4195049259711,26.6783561159522,18.9446205715512,35.1919295778138,44.6834012746747
"BC034902",0,0,0,0,0,0,0,0,0,0
"BC035044",8.75893819487509,11.232866517461,6.92437323654667,14.6277296147015,14.9108350051232,9.37103340511235,20.0087670869641,12.8823419886548,15.3255177193705,28.4348917202475
"BC035947",2.91964606495836,5.6164332587305,4.154623941928,2.92554592294031,0,2.67743811574639,0,12.1245571657927,2.27044706953638,1.35404246286893
"BC037034",73.7210631401987,65.5250546851892,86.5546654568334,97.7132338262063,26.8395030092218,16.0646286944783,36.6827396594342,49.256013486033,74.3571415273163,55.5157409776261
"BC043934",2.18973454871877,4.68036104894208,4.154623941928,5.85109184588062,2.98216700102464,0,0,0.757784822862046,6.24372944122503,5.41616985147572
"BC046331",167.149737218866,142.282975887839,130.178216847077,131.064457347726,140.161849048158,220.888644549077,170.074520239195,212.937535224235,234.423659929631,140.143394906934
"BC046404",48.174160071813,48.6757549089977,37.391615477352,40.9576429211643,41.750338014345,40.1615717361958,46.6871232029163,17.4290509258271,21.5692471605956,33.8510615717232
"BC048355",4.37946909743754,1.87214441957683,7.61681056020134,6.43620103046868,2.98216700102464,14.7259096366051,3.33479451449402,2.27335446858614,7.37895297599322,6.77021231434465
"BC048403",23.3571685196669,25.2739496642873,36.6991781536974,36.8618786290479,29.8216700102464,26.7743811574639,33.3479451449402,35.6158866745162,26.1101412996683,39.267231423199
"BC048502",0,0,0,0,0,0,0,0,145.876224217712,0.677021231434465
"BC048507",11.6785842598334,25.2739496642873,12.463871825784,15.2128387992896,29.8216700102464,16.0646286944783,16.6739725724701,6.06227858289637,19.2988000910592,9.4782972400825
"BC048546",0.729911516239591,0.936072209788417,0,0,2.98216700102464,0,0,0.757784822862046,1.13522353476819,0
"BC048562",0,0,0,0,0,0,0,0,24.9749177649001,0
"BC048609",1.45982303247918,0.936072209788417,1.38487464730933,1.17021836917612,0,2.67743811574639,0,0.757784822862046,13.6226824172183,0.677021231434465
"BC048671",0,1.87214441957683,0,0.585109184588062,5.96433400204928,0,0,0,63.5725179470185,0
"BC048679",2.91964606495836,0,2.077311970964,0.585109184588062,5.96433400204928,17.4033477523515,13.3391780579761,0.757784822862046,2.83805883692047,10.8323397029514
"BC048943",0,0,0,0,0,0,0,0,0,0.677021231434465
"BC049352",10.2187612273543,7.48857767830733,15.2336211204027,10.5319653225851,0,4.01615717361958,3.33479451449402,12.1245571657927,10.2170118129137,9.4782972400825
"BC049635",27.7366376171044,26.2100218740757,15.2336211204027,13.4575112455254,11.9286680040986,4.01615717361958,0,7.57784822862046,245.775895277313,36.5591464974611
"BC049702",0,0,0,0,0,0,0,0,1.13522353476819,0
"BC049715",2.91964606495836,2.80821662936525,2.76974929461867,4.09576429211643,2.98216700102464,1.33871905787319,3.33479451449402,1.51556964572409,42.5708825538071,0.677021231434465
"BC049730",0,0,0,0.585109184588062,0,0,0,0,6.24372944122503,0
"BC049762",1.45982303247918,0,0.692437323654667,0.585109184588062,0,0,3.33479451449402,12.1245571657927,143.605777148176,0.677021231434465
"BC051019",2.18973454871877,0,2.76974929461867,0.585109184588062,0,1.33871905787319,0,2.27335446858614,1.13522353476819,2.70808492573786
"BC051070",0.729911516239591,0,0.692437323654667,0,0,0,0,0,0,0.677021231434465
"BC051076",0,0,0,0,2.98216700102464,0,0,0,0,1.35404246286893
"BC051142",5.83929212991672,1.87214441957683,0.692437323654667,8.19152858423287,2.98216700102464,5.35487623149277,6.66958902898804,8.33563305148251,619.832049983431,4.73914862004125
"BC051628",0.729911516239591,0,0.692437323654667,0,2.98216700102464,0,3.33479451449402,0.757784822862046,198.664118584433,1.35404246286893
"BC051665",0,0,0,0,0,0,0,0,0,0.677021231434465
"BC052040",20.4375224547085,24.3378774544988,33.9294288590787,28.670350044815,32.803837011271,16.0646286944783,10.0043835434821,30.3113929144818,13.0550706498342,23.0187218687718
"BC053393",0,0,0,0,0,0,0,0.757784822862046,0,0
"BC053749",21.1674339709481,29.0182385034409,22.1579943569494,20.4788214605822,11.9286680040986,24.0969430417175,20.0087670869641,9.09341787434455,26.6777530670524,14.8944670915582
"BC055004",26.2768145846253,26.2100218740757,27.005055622532,33.3512235215195,23.8573360081971,10.7097524629855,16.6739725724701,31.8269625602059,10.7846235802978,33.8510615717232
"BC055111",0,0.936072209788417,0,0.585109184588062,2.98216700102464,0,3.33479451449402,0.757784822862046,8.51417651076141,1.35404246286893
"BC055324",17.5178763897502,23.4018052447104,18.0033704150214,15.7979479838777,14.9108350051232,10.7097524629855,13.3391780579761,12.1245571657927,11.3522353476819,14.8944670915582
"BC056474",27.7366376171044,32.7625273425946,21.4655570332947,22.2341490143464,26.8395030092218,45.5164479676886,50.0219177174103,30.3113929144818,72.0866944577799,67.025101912012
"BC057022",5.10938061367713,0.936072209788417,5.53949858923734,2.92554592294031,0,4.01615717361958,3.33479451449402,7.57784822862046,7.94656474337732,7.44723354577911
"BC057079",172.259117832543,180.661936489164,193.882450623307,201.277559498293,149.108350051232,191.436825275867,153.400547666725,219.757598629993,177.094871423837,138.789352444065
"BC061194",0.729911516239591,0,1.38487464730933,1.17021836917612,0,1.33871905787319,0,3.03113929144818,292.887671970193,0.677021231434465
"BC061195",0,0,0,0,0,0,0,0,4.54089413907275,0
"BC061212",0,0,0,0,0,0,0,0,0,0
"BC061237",0,0,0,0,0,0,0,0,70.3838591556277,0
"BC065397",28.466549133344,18.7214441957683,23.5428690042587,21.6490398297583,2.98216700102464,5.35487623149277,26.6783561159522,19.7024053944132,14.1902941846024,20.3106369430339
"BC066135",2.18973454871877,2.80821662936525,6.92437323654667,11.7021836917612,0,2.67743811574639,0,3.78892411431023,1.70283530215228,5.41616985147572
"BC067068",32.8460182307816,37.4428883915367,27.005055622532,24.5745857526986,20.8751690071725,33.4679764468298,33.3479451449402,31.0691777373439,19.2988000910592,32.4970191088543
"BC067074",115.326019565855,123.561531692071,113.559721079365,90.1068144265615,80.5185090276653,81.6618625302648,90.0394518913385,330.394182767852,78.8980356663891,56.1927622090606
"BC068157",10.2187612273543,10.2967943076726,5.53949858923734,9.94685613799705,5.96433400204928,2.67743811574639,3.33479451449402,6.06227858289637,2.27044706953638,4.06212738860679
"BC068281",27.7366376171044,33.698599552383,24.2353063279134,27.5001316756389,35.7860040122957,20.0807858680979,43.3523286884222,33.34253220593,15.3255177193705,29.7889341831164
"BC080695",0,0,0,0,0,0,0,0,0,0
"BC088983",56.2031867504485,48.6757549089977,67.1664203945027,52.0747174283375,41.750338014345,61.5810766621669,56.6915067463983,52.2871527774812,63.0049061796344,52.1306348204538
"BC089491",0,0,0,1.17021836917612,0,0,0,1.51556964572409,122.604141754964,1.35404246286893
"BC089597",3.64955758119795,0.936072209788417,0.692437323654667,0.585109184588062,2.98216700102464,1.33871905787319,0,16.671266102965,1.70283530215228,0
"BC094916",0.729911516239591,1.87214441957683,0,0.585109184588062,8.94650100307392,2.67743811574639,3.33479451449402,2.27335446858614,1.70283530215228,1.35404246286893
"BC096441",10.9486727435939,6.55250546851892,7.61681056020134,7.6064193996448,20.8751690071725,9.37103340511235,3.33479451449402,8.33563305148251,9.0817882781455,6.09319108291018
"BC100451",153.281418410314,62.7168380558239,82.4000415149054,83.0855042115048,38.7681710133203,33.4679764468298,30.0131506304462,40.1625956116885,279.832601320358,35.2051040345922
"BC100530",1.45982303247918,41.1871772306903,7.61681056020134,1.17021836917612,17.8930020061478,6.69359528936597,0,0,0,9.4782972400825
"BC106179",0.729911516239591,2.80821662936525,2.077311970964,1.75532755376419,2.98216700102464,0,3.33479451449402,1.51556964572409,2.27044706953638,1.35404246286893
"BC107364",1.45982303247918,0,1.38487464730933,1.75532755376419,0,0,3.33479451449402,0,1.13522353476819,0
"BC125332",0,0.936072209788417,0,0.585109184588062,0,0,0,0,127.145035894037,0
"BC147527",0,0,0,0,0,0,0,0,0,0
"BY080835",16.7879648735106,6.55250546851892,11.0789971784747,6.43620103046868,8.94650100307392,50.8713241991814,46.6871232029163,6.06227858289637,9.6494000455296,4.06212738860679
"Baalc",5.10938061367713,3.74428883915367,0,1.75532755376419,0,14.7259096366051,0,0.757784822862046,7.37895297599322,0.677021231434465
"Baat",1.45982303247918,0.936072209788417,0.692437323654667,0.585109184588062,2.98216700102464,1.33871905787319,3.33479451449402,12.8823419886548,0,0
"Baat1",58.3929212991672,64.5889824754008,81.0151668675961,70.2131021505674,50.6968390174189,76.306986298772,70.0306848043744,96.2386725034799,40.8680472516548,64.9940382177086
"Bace1",232.11186216419,229.337691398162,222.964818216803,271.490661648861,229.626859078897,307.905383310835,286.792328246486,284.169308573267,278.129766018206,280.963811045303
"Bace2",51.8237176530109,69.2693435243428,51.9327992741001,64.3620103046868,53.6790060184435,28.1131002153371,36.6827396594342,15.1556964572409,23.2720824627479,31.8199978774198
"Bach1",425.538413967681,391.278183691558,370.453968155247,407.821101657879,411.5390461414,342.712078815538,290.12712276098,301.598359499094,313.32169559602,526.045496824579
"Bach2",49.6339831042922,73.0136323634965,63.7042337762294,101.223888933735,71.5720080245914,33.4679764468298,26.6783561159522,34.8581018516541,45.4089413907275,64.9940382177086
"Bad",66.4219479778027,50.5478993285745,55.3949858923734,58.5109184588062,53.6790060184435,72.2908291251525,96.7090409203266,90.9341787434455,74.3571415273163,42.6523375803713
"Bag1",727.721781690872,739.497045732849,510.32630753349,486.225732392679,787.292088270505,1253.04103816931,970.42520371776,1475.4070501124,703.838591556277,628.952724002618
"Bag2",40.8750449094171,39.3150328111135,15.2336211204027,40.9576429211643,95.4293440327885,133.871905787319,86.7046573768445,17.4290509258271,19.8664118584433,35.8821252660266
"Bag3",267.14761494369,366.940306237059,184.188328092142,162.660353315481,354.877873121932,614.472047563796,290.12712276098,145.494685989513,241.23500113824,406.889760092113
"Bag4",219.703366388117,269.588796419064,231.966503424314,209.469088082526,172.965686059429,202.146577738852,250.109588587051,583.494313603776,210.583965699499,219.354878984767
"Bag5",115.326019565855,126.369748321436,116.329470373984,107.660089964203,101.393678034838,148.597815423924,156.735342181219,114.425508252169,693.621579743363,186.857859875912
"Bag6",397.801776350577,352.899223090233,381.532965333722,392.023153674001,304.181034104513,589.036385464205,336.814245963896,515.293679546191,1291.8843825662,427.877418266582
