"","UpstreamRegulator","X","Group","Tissue","pval","padj","ES","NES","nMoreExtreme","size"
"362","Ifnar",2,"LTAL_vs_STDR","Blood",0.000252652854977261,0.000252652854977261,-0.600466390962105,-2.36343064629846,0,82
"363","Ifnar",3,"Young_vs_LTAL","Blood",0.000298775022408127,0.000298775022408127,0.60411238753364,2.3490726635122,0,80
"364","Ifnar",4,"LTAL_vs_LTDR","Brain",0.00176030511955406,0.00176030511955406,-0.541751232258765,-1.73959726521026,11,79
"365","Ifnar",5,"LTAL_vs_STDR","Brain",0.000205549845837616,0.000205549845837616,-0.582491786138593,-2.12867733458574,0,77
"366","Ifnar",6,"Young_vs_LTAL","Brain",0.000418235048097031,0.000418235048097031,0.746866336095717,2.61786826141599,0,78
"367","Ifnar",7,"LTAL_vs_LTDR","Heart",0.00125523012552301,0.00125523012552301,-0.456709300815986,-1.76739797435404,2,89
"368","Ifnar",8,"LTAL_vs_STDR","Heart",0.000129954515919428,0.000129954515919428,-0.69997294125752,-2.28914796030384,0,86
"369","Ifnar",9,"Young_vs_LTAL","Heart",0.226146547179758,0.226146547179758,0.506276565663349,1.19090808584044,2144,88
"370","Ifnar",10,"LTAL_vs_LTDR","Kidney",0.000142897970848814,0.000142897970848814,-0.718219770853036,-2.32372888061016,0,88
"371","Ifnar",11,"LTAL_vs_STDR","Kidney",0.000295770482105886,0.000295770482105886,-0.680860889391503,-2.49386727790258,0,88
"372","Ifnar",12,"Young_vs_LTAL","Kidney",0.00015921031682853,0.00015921031682853,0.776176695869857,2.42444007222922,0,88
"373","Ifnar",13,"LTAL_vs_LTDR","Liver",0.000139938427092079,0.000139938427092079,-0.583983434635031,-1.99071550065272,0,78
"374","Ifnar",14,"LTAL_vs_STDR","Liver",0.00024515812699191,0.00024515812699191,-0.693608152358088,-2.43297105552675,0,77
"375","Ifnar",15,"Young_vs_LTAL","Liver",0.000305017538508464,0.000305017538508464,0.5577229975574,1.84459922509292,1,77
"376","Ifnar",16,"LTAL_vs_LTDR","Lung",0.000226808800181447,0.000226808800181447,-0.706289844568035,-2.64148019786463,0,90
"377","Ifnar",17,"LTAL_vs_STDR","Lung",0.000198728139904611,0.000198728139904611,-0.629272000814905,-2.23707477844226,0,88
"378","Ifnar",18,"Young_vs_LTAL","Lung",0.000273224043715847,0.000273224043715847,0.585574915986966,2.25944811659906,0,90
"379","Ifnar",19,"LTAL_vs_LTDR","Muscle",0.0198629178906141,0.0198629178906141,-0.502649000109941,-1.58111018157123,141,84
"380","Ifnar",20,"LTAL_vs_STDR","Muscle",0.000448329970858552,0.000448329970858552,-0.624433950043918,-1.98109794426035,1,84
"381","Ifnar",21,"Young_vs_LTAL","Muscle",0.000542299349240781,0.000542299349240781,0.69515084001014,2.5060007095419,0,80
"382","Ifnar",22,"LTAL_vs_LTDR","Skin",0.000167000668002672,0.000167000668002672,0.619399373903492,1.97167216333524,0,82
"383","Ifnar",23,"LTAL_vs_STDR","Skin",0.643293303480562,0.643293303480562,0.405375550250611,0.923628229317626,6320,86
"384","Ifnar",24,"Young_vs_LTAL","Skin",0.064623786407767,0.064623786407767,-0.388815040570445,-1.34255239921791,425,78
"385","IFNB1",1,"LTAL_vs_LTDR","Blood",0.00047438330170778,0.00047438330170778,-0.481907154523144,-2.00303544260268,1,107
