"","Lung_LTDR_rep1","Lung_LTDR_rep2","Lung_LTDR_rep3","Lung_LTAL_rep2","Lung_LTAL_rep3","Lung_Young_rep1","Lung_Young_rep2","Lung_Young_rep3","Lung_STDR_rep1","Lung_STDR_rep2","Lung_STDR_rep3"
"Cutc",74.1340608454593,57.481419244878,77.6341277262975,74.389085943994,73.8333506986109,67.1956160394844,59.0138758138794,65.4545071388093,72.3454955657534,79.2397983987097,72.9065268559959
"Cux1",1620.96975348629,1550.48565068421,1577.63638129512,1518.2690491848,1331.76906322619,1441.85847298283,1919.56043329146,1564.25178077494,1952.38882838488,1566.20885476956,1713.3033811159
"Cux2",85.53930097553,120.257179735995,69.3161854699085,103.656923036713,80.2937688847394,62.6399810537566,47.2111006511035,95.4082646430102,125.89995332222,95.8703733712783,89.7311099766104
"Cuzd1",0.712827508129416,0,0,0,0.922916883732636,0,2.14595912050471,0,0.93955189046433,0.978269116033453,2.80409718676907
"Cwc15",672.19634016604,501.449749465186,686.692344055226,681.696705617913,807.552273266057,477.202764754982,598.722594620813,428.227792467464,594.736346663921,475.438790392258,478.098570344127
"Cwc22",180.345359556742,171.687923270886,187.615808671886,221.947764619786,227.037553398229,231.198475525684,262.879992261827,188.597732433857,214.217831025867,214.240936411326,222.925726348141
"Cwc25",201.730184800625,176.225930053376,225.508656728769,199.996886800246,177.200041676666,195.892304386293,169.530770519872,175.284951320879,221.734246149582,165.327480609653,187.874511513528
"Cwc27",143.991156642142,180.007602372118,174.676787384169,171.948542919724,132.9000312575,184.503216921974,166.311831839115,157.534576503575,120.262641979434,165.327480609653,154.225345272299
"Cwf19l1",86.2521284836594,105.886824924775,100.739522882934,109.754389097696,119.05627800151,101.362878432443,101.933058223974,86.5330772343581,130.597712774542,94.8921042552449,99.5454501303021
"Cwf19l2",500.40491070685,449.262671466546,503.697614414668,562.186370822644,558.364714658245,592.232548144608,531.124882324915,448.196964136932,455.6826668752,450.003793375388,445.851452696283
"Cwh43",1.42565501625883,0.756334463748395,2.77264741879634,0,1.84583376746527,0,1.07297956025235,0,0,0.978269116033453,0
"Cx3cl1",198.166047259978,229.169342515764,158.040902871391,182.923981829494,197.504213118784,294.977365325872,172.749709200629,272.912012816052,161.602925159865,135.001138012616,134.596664964916
"Cx3cr1",40.6311679633767,52.9434124623876,61.9224590197849,225.606244256375,166.125039071875,89.9737909681232,37.5542846088324,123.143225295048,46.0380426327522,96.8486424873118,70.1024296692268
"Cxadr",3638.98442900067,3029.11952731232,3193.16561064712,2940.19813460606,2556.4797679394,3133.13796143426,2651.33249338356,2415.16037357946,2393.03866501265,2346.86760936425,1969.87827370527
"Cxcl1",22.0976527520119,15.8830237387163,17.5601003190435,12.1949321219662,21.2270883258506,11.3890874643194,7.51085692176647,11.0939842608151,34.7634199471802,24.4567279008363,18.226631713999
"Cxcl10",24.9489627845296,6.05067570998716,14.7874529002471,25.6093574561291,33.2250078143749,14.8058137036152,8.58383648201883,16.6409763912227,15.0328302474293,16.6305749725687,32.2471176478443
"Cxcl12",1162.62166575908,1395.43708561579,812.385693707327,712.184035922828,966.29397726807,1073.99094788532,781.129119863713,1588.65854614873,541.181888907454,800.224136915364,944.980751941178
"Cxcl13",167.514464410413,61.26309156362,117.375407395712,56.0966877610447,420.850098982082,205.003574357749,18.24065252429,72.1108976952984,120.262641979434,112.500948343847,5547.90628402261
"Cxcl14",305.80300098752,389.512248830423,437.154076363556,260.971547410078,191.043794932656,490.869669712166,539.708718806934,524.745455536556,339.178232457623,356.089958236177,203.297046040758
"Cxcl15",7987.94505609824,11326.864929096,10836.4303284624,27209.3325505311,21001.8966062199,17811.3938854491,17923.0505744553,11624.2767084821,12802.334059467,7653.97756384573,3987.42619958562
"Cxcl16",635.842137251439,606.580239926212,634.012043098096,654.867854949587,637.735566659252,654.872529198365,662.028388675702,594.637556379692,792.981795551894,622.179157797276,587.458360628121
"Cxcl17",328.613481247661,350.182856715507,171.904139965373,217.069791770999,209.502132607308,133.252323332537,130.903506350787,158.643974929657,228.311109382832,123.261908620215,99.5454501303021
"Cxcl2",9.97958511381183,15.8830237387163,12.0148054814508,8.53645248537637,8.30625195359373,64.9177985466205,77.2545283381694,52.1417260258312,17.8514859188223,30.326342597037,26.6389232743062
"Cxcl3",7.12827508129416,5.29434124623876,2.77264741879634,3.65847963658987,12.9208363722569,4.55563498572776,6.43787736151412,1.10939842608151,1.87910378092866,1.95653823206691,0
"Cxcl5",17.107860195106,15.1266892749679,13.8632370939817,87.8035112781569,76.6021013498088,126.418870853945,11.8027751627759,76.5484913996245,146.570094912435,32.2828808291039,32.2471176478443
"Cxcl9",34.215720390212,14.3703548112195,22.1811793503707,34.1458099415055,83.9854364196699,12.5279962107513,16.0946934037853,4.43759370432606,5.63731134278598,38.1524955253047,99.5454501303021
"Cxcr1",27.8002728170472,167.149916488395,52.6803009571304,43.9017556390785,208.579215723576,26.1949011679346,11.8027751627759,5.54699213040757,45.0984907422878,68.4788381223417,15.4225345272299
"Cxcr2",38.4926854389885,67.3137672736071,66.5435380511121,80.4865520049772,118.133361117777,115.029783389626,22.5325707652994,48.8135307475866,108.988019293862,244.567279008363,35.0512148346134
"Cxcr3",14.2565501625883,21.177364984955,26.8022583816979,14.6339185463595,34.1479246981075,7.97236122502357,6.43787736151412,14.4221795390597,17.8514859188223,30.326342597037,28.0409718676907
"Cxcr4",291.546450824931,386.48691097543,341.03563251195,240.240162802735,436.539686005537,416.84060119409,654.517531753935,419.352605058812,315.689435196015,498.917249177061,398.181800521208
"Cxcr5",69.1442682885534,31.7660474774326,50.8318693445995,14.6339185463595,174.431291025468,52.3898023358692,26.8244890063088,62.1263118605648,16.9119340283579,34.2394190611708,332.285516632135
"Cxcr6",84.1136459592711,93.7854735048009,108.133249333057,154.875637948971,98.7521065593921,138.946867064697,80.4734670189265,90.9706709386842,90.1969814845757,135.97940712865,159.833539645837
"Cxcr7",396.332094519955,272.280406949422,308.688079292659,263.410533834471,412.543847028488,332.561353958126,430.264803661194,325.053738841884,211.399175354474,217.175743759426,307.048641951214
"Cxx1a",48.4722705528003,40.0857265786649,48.0592219258032,70.7306063074042,65.5270987450172,38.7228973786859,34.3353459280753,42.1571401910975,31.9447642757872,31.3046117130705,21.0307289007681
"Cxx1b",57.0262006503533,50.6744090711424,79.4825593388284,86.5840180659603,75.6791844660762,61.5010723073247,60.0868553741318,48.8135307475866,48.8566983041451,52.8265322658064,23.8348260875371
"Cxx1c",37.0670304227297,27.2280406949422,52.6803009571304,37.8042895780953,37.8395922330381,52.3898023358692,37.5542846088324,42.1571401910975,22.5492453711439,18.5871132046356,44.8655549883052
"Cxxc1",384.926854389885,371.360221700462,379.852696375098,376.823402568757,303.639654748037,351.922802647469,371.250927847314,402.71162866759,456.622218765664,406.959952269916,368.738780060133
"Cxxc4",26.3746178007884,14.3703548112195,17.5601003190435,9.75594569757299,23.0729220933159,21.6392661822068,7.51085692176647,17.7503748173042,3.75820756185732,6.84788381223417,11.2163887470763
"Cxxc5",143.278329134013,94.5418079685493,98.8910912704027,110.973882309893,131.054197490034,115.029783389626,144.852240634068,156.425178077494,91.13653337504,81.1963366307766,143.008956525223
"Cyb5",2896.21816552982,2377.1592195612,2971.35381714341,2875.56499435964,2928.41527208366,1884.89397534486,2376.64972595896,1733.98973996541,2728.45868990841,2452.52067389587,1873.13692076174
"Cyb561",962.317135974712,1031.64020855281,926.064237877977,1026.81328466956,901.689795406786,697.012152816347,671.685204717973,767.703710848408,1053.23766921051,912.725085259211,508.943639398587
"Cyb561d1",147.555294182789,172.444257734634,158.040902871391,147.558678675791,163.356288420677,165.141768232631,151.290117995582,164.190967060064,199.185000778438,172.175364421888,203.297046040758
"Cyb561d2",84.1136459592711,77.1461153023362,97.9668754641373,79.2670587927805,128.285446838836,64.9177985466205,114.808812947002,72.1108976952984,125.89995332222,119.348832156081,63.0921867023042
"Cyb5b",2520.55806874562,2818.10221192652,2761.55682912115,3265.80282226256,3152.68407483069,2619.49011679346,2282.22752465676,2401.84759246648,2777.31538821256,2346.86760936425,1804.4365396859
"Cyb5d1",62.0159932072592,49.918074607394,54.5287325696613,67.0721266708143,50.760428605295,46.6952586037095,47.2111006511035,65.4545071388093,64.8290804420387,55.7613396139068,47.6696521750743
"Cyb5d2",116.190883825095,114.962838489756,128.465997070897,148.778171887988,126.439613071371,112.751965896762,120.173710748264,151.987584373167,123.081297650827,118.370563040048,143.008956525223
"Cyb5r1",188.186462146166,214.042653240796,225.508656728769,252.435094924701,242.727140421683,250.559924215027,222.106768972237,246.286450590096,226.432005601903,167.28401884172,250.966698215832
"Cyb5r2",7.12827508129416,6.80701017373555,15.7116687065126,20.7313846073426,11.0750026047916,9.11126997145551,2.14595912050471,14.4221795390597,13.1537264665006,14.6740367405018,25.2368746809217
"Cyb5r3",2436.44442278635,2538.25846033961,2877.08380490433,2487.76615288111,2364.51305612301,1768.7252832088,1990.37708426812,1927.02506610359,3459.43006068966,2134.58321118499,1913.79632996989
"Cyb5r4",353.562444032191,308.584461209345,366.913675087382,390.23782790292,453.152189912724,333.700262704558,345.499418401258,312.850356154987,349.513303252731,341.415921495675,294.430204610753
"Cyb5rl",88.3906110080476,93.7854735048009,90.5731490140137,85.3645248537637,72.9104338148783,61.5010723073247,54.72195757287,74.3296945474615,72.3454955657534,65.5440307742413,88.3290613832258
"Cyba",689.304200361146,993.82348536539,815.158341126123,718.281501983811,1015.2085721059,408.868239969066,619.109206265608,455.962753119502,960.222032054545,917.616430839378,801.971795415955
"Cybasc3",525.35387349138,589.940881723748,601.664489878805,726.817954469188,960.756475965674,648.039076719773,615.890267584851,666.74845407499,833.38252684186,692.614534151684,787.95130948211
"Cybb",2764.34507652588,4181.01691560112,3136.78844646492,6279.17054960042,6301.67648212644,1584.22206628683,1466.76305886497,1170.415339516,2898.51758208246,3148.07001539565,2969.53892078845
"Cybrd1",164.663154377895,109.668497243517,113.67854417065,204.874859649033,101.52085721059,227.781749286388,145.92522019432,187.488334007776,51.6753539755381,102.718257183513,155.627393865684
